title,directors,stars,genre,runtime,grade,synopsis
Rio,Carlos Saldanha,Jesse Eisenberg Anne Hathaway George Lopez Karen Disher,Animation/ Adventure/ Comedy,96 min,7,When Blu/ a domesticated macaw from small-town Minnesota/ meets the fiercely independent Jewel/ he takes off on an adventure to Rio de Janeiro with the bird of his dreams.
Meet the Robinsons,Stephen J. Anderson,Daniel Hansen Wesley Singerman Angela Bassett Jordan Fry,Animation/ Adventure/ Comedy,95 min,All,Lewis is a brilliant inventor who meets mysterious stranger named Wilbur Robinson/ whisking Lewis away in a time machine and together they team up to track down Bowler Hat Guy in a showdown that ends with an unexpected twist of fate.
Snow White and the Seven Dwarfs,William Cottrell David Hand Wilfred Jackson Larry Morey Perce Pearce Ben Sharpsteen,Adriana Caselotti Harry Stockwell Lucille La Verne Roy Atwell,Animation/ Family/ Fantasy,83 min,All,Exiled into the dangerous forest by her wicked stepmother/ a princess is rescued by seven dwarf miners who make her part of their household.
The Parent Trap,David Swift,Hayley Mills Maureen O'Hara Brian Keith Charles Ruggles,Comedy/ Family/ Romance,129 min,None,Teenage twin sisters swap places and scheme to reunite their divorced parents.
The Hunchback of Notre Dame,Gary Trousdale Kirk Wise,Demi Moore Jason Alexander Mary Kay Bergman Corey Burton,Animation/ Drama/ Family,91 min,All,A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend/ a gypsy dancer.
Fiddler on the Roof,Norman Jewison,Topol Norma Crane Leonard Frey Molly Picon,Drama/ Family/ Musical,181 min,None,In prerevolutionary Russia/ a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village.
Uncle Tom,Justin Malone,Chad Jackson Brandon Tatum Candace Owens Larry Elder,Documentary,106 min,None,An oral history of the American black conservative.
Brother Bear,Aaron Blaise Robert Walker,Joaquin Phoenix Jeremy Suarez Rick Moranis Jason Raize,Animation/ Adventure/ Comedy,85 min,All,When a young Inuit hunter needlessly kills a bear/ he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back.
The Secret Garden,Agnieszka Holland,Kate Maberly Maggie Smith Heydon Prowse Andrew Knott,Drama/ Family/ Fantasy,101 min,All,A young/ recently-orphaned girl is sent to England after living in India all of her life. Once there/ she begins to explore her new/ seemingly-isolated surroundings/ and its secrets.
It's a Mad Mad Mad Mad World,Stanley Kramer,Spencer Tracy Milton Berle Ethel Merman Mickey Rooney,Action/ Adventure/ Comedy,210 min,7,A group of motorists hear about a crook's hidden stash of loot/ and race against each other across the country to get to it.
