movie_key,title,directors,stars,genre,runtime,grade,synopsis,violence_per,violence,nudity,word,alcohol
tt1675434,My Cousin Vinny,Jonathan Lynn,Joe Pesci Marisa Tomei Ralph Macchio Mitchell Whitfield,Comedy/ Crime,120,18,Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins/ a loudmouth lawyer with no trial experience.,77.54%,1,3,0,no alcohol or smoking
tt10618286,Herself,Phyllida Lloyd,Molly McCann Clare Dunne Ruby Rose O'Hara Ian Lloyd Anderson,Drama,97,R,A young mother escapes her abusive husband and fights back against a broken housing system. She sets out to build her own home and in the process rebuilds her life and re-discovers herself.,53.69%,0,3,0,no alcohol or smoking
tt0407887,Annihilation,Alex Garland,Natalie Portman Jennifer Jason Leigh Tessa Thompson Benedict Wong,Adventure/ Drama/ Horror,115,18,A biologist signs up for a dangerous/ secret expedition into a mysterious zone where the laws of nature don't apply.,80.98%,3,0,0,drinking
tt9484998,Nobody,,,Action/ Crime/ Drama,92,R,Director:Ilya Naishuller|     Stars:Bob Odenkirk/ Connie Nielsen/ Christopher Lloyd/ J.P. Manoux,53.69%,0,0,0,no alcohol or smoking
tt10514222,The Outpost,Rod Lurie,Scott Eastwood Caleb Landry Jones Orlando Bloom Jack Kesy,Action/ Drama/ History,123,15,A small team of U.S. soldiers battle against hundreds of Taliban fighters in Afghanistan.,70.95%,3,0,2,smoking
tt8046498,The Predator,Shane Black,Boyd Holbrook Trevante Rhodes Jacob Tremblay Keegan-Michael Key,Action/ Adventure/ Sci-Fi,107,18,When a young boy accidentally triggers the universe's most lethal hunters' return to Earth/ only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.,81.79%,3,3,5,smoking and drinking
tt8784956,Let Them All Talk,Steven Soderbergh,Meryl Streep Gemma Chan Dianne Wiest Christopher Fitzgerald,Comedy/ Drama,113,R,A famous author goes on a cruise trip with her friends and nephew in an effort to find fun and happiness while she comes to terms with her troubled past.,53.69%,0,0,0,no alcohol or smoking
tt1856101,Hot Tub Time Machine,Steve Pink,John Cusack Rob Corddry Craig Robinson Clark Duke,Comedy/ Sci-Fi,101,R,A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew/ where they must relive a fateful night and not change anything to make sure the nephew is born.,77.87%,3,3,0,no alcohol or smoking
tt8772262,Brokeback Mountain,Ang Lee,Jake Gyllenhaal Heath Ledger Michelle Williams Randy Quaid,Drama/ Romance,134,15,The story of a forbidden and secretive relationship between two cowboys/ and their lives over the years.,79.92%,1,3,6,smoking and drinking
tt0133093,True Lies,James Cameron,Arnold Schwarzenegger Jamie Lee Curtis Tom Arnold Bill Paxton,Action/ Adventure/ Comedy,141,15,A fearless/ globe-trotting/ terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.,81.74%,3,3,1,smoking
tt2312718,First Blood,Ted Kotcheff,Sylvester Stallone Brian Dennehy Richard Crenna Bill McKinney,Action/ Adventure,93,15,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,80.91%,3,0,5,smoking and drinking
tt1568346,Cidade de Deus,Fernando Meirelles Kátia Lund,Alexandre Rodrigues Leandro Firmino Matheus Nachtergaele Phellipe Haagensen,Crime/ Drama,130,18,In the slums of Rio/ two kids' paths diverge as one struggles to become a photographer and the other a kingpin.,80.46%,3,3,8,smoking
tt1706620,Basic Instinct,Paul Verhoeven,Michael Douglas Sharon Stone George Dzundza Jeanne Tripplehorn,Drama/ Mystery/ Thriller,127,18,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,81.11%,3,3,1,smoking and drinking
tt9738716,Red Sparrow,Francis Lawrence,Jennifer Lawrence Joel Edgerton Matthias Schoenaerts Charlotte Rampling,Action/ Drama/ Thriller,140,18,Ballerina Dominika Egorova is recruited to 'Sparrow School/' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission/ targeting a C.I.A. agent/ threatens to unravel the security of both nations.,80.38%,3,3,3,smoking
tt10451914,Project Power,Henry Joost Ariel Schulman,Jamie Foxx Joseph Gordon-Levitt Dominique Fishback Rodrigo Santoro,Action/ Crime/ Sci-Fi,113,18,When a pill that gives its users unpredictable superpowers for five minutes hits the streets of New Orleans/ a teenage dealer and a local cop must team with an ex-soldier to take down the group responsible for its creation.,78.93%,3,3,3,drinking
tt9620292,The Rental,Dave Franco,Dan Stevens Alison Brie Sheila Vand Jeremy Allen White,Drama/ Horror/ Mystery,88,15,Two couples rent a vacation home for what should be a celebratory weekend get-away.,53.69%,0,0,1,drinking
tt9130508,Hot Fuzz,Edgar Wright,Simon Pegg Nick Frost Martin Freeman Bill Nighy,Action/ Comedy/ Mystery,121,18,A skilled London police officer is transferred to a small town with a dark secret.,81.35%,3,3,5,smoking and drinking
tt10612922,V for Vendetta,James McTeigue,Hugo Weaving Natalie Portman Rupert Graves Stephen Rea,Action/ Drama/ Sci-Fi,132,15,"In a future British tyranny/ a shadowy freedom fighter/ known only by the alias of ""V""/ plots to overthrow it with the help of a young woman.",80.73%,3,3,6,smoking and drinking
tt11161474,Halloween Kills,,,Horror/ Thriller,,R,Director:David Gordon Green|     Stars:Judy Greer/ Jamie Lee Curtis/ Anthony Michael Hall/ Kyle Richards,53.69%,0,0,0,no alcohol or smoking
tt13061914,Vivarium,Lorcan Finnegan,Imogen Poots Danielle Ryan Molly McCann Jesse Eisenberg,Comedy/ Horror/ Mystery,97,15,A young couple looking for the perfect home find themselves trapped in a mysterious labyrinth-like neighborhood of identical houses.,53.69%,0,1,4,smoking and drinking
tt6571548,Ma,Tate Taylor,Octavia Spencer Diana Silvers Juliette Lewis McKaley Miller,Crime/ Mystery/ Thriller,99,18,A lonely woman befriends a group of teenagers and decides to let them party at her house. Just when the kids think their luck couldn't get any better/ things start happening that make them question the intention of their host.,78.31%,0,3,0,smoking and drinking
tt9016974,Air Force One,Wolfgang Petersen,Harrison Ford Gary Oldman Glenn Close Wendy Crewson,Action/ Drama/ Thriller,124,15,Communist Radicals hijack Air Force One with The U.S. President and his family on board. The Vice President negotiates from Washington D.C./ while the President/ a Veteran/ fights to rescue the hostages on board.,80.18%,3,1,6,smoking and drinking
tt9686708,12 Years a Slave,Steve McQueen,Chiwetel Ejiofor Michael Kenneth Williams Michael Fassbender Brad Pitt,Biography/ Drama/ History,134,15,In the antebellum United States/ Solomon Northup/ a free black man from upstate New York/ is abducted and sold into slavery.,79.94%,3,3,0,drinking
tt9794630,Den of Thieves,Christian Gudegast,Gerard Butler Pablo Schreiber O'Shea Jackson Jr. 50 Cent,Action/ Crime/ Drama,140,15,An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,78.68%,3,3,0,smoking and drinking
tt10016180,The Breakfast Club,John Hughes,Emilio Estevez Judd Nelson Molly Ringwald Ally Sheedy,Comedy/ Drama,97,15,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,73.61%,0,3,7,smoking and drinking
tt9770150,Point Break,Kathryn Bigelow,Patrick Swayze Keanu Reeves Gary Busey Lori Petty,Action/ Crime/ Thriller,122,15,An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.,80.86%,3,3,7,drinking
tt9608818,Molly's Game,Aaron Sorkin,Jessica Chastain Idris Elba Kevin Costner Michael Cera,Biography/ Crime/ Drama,140,15,The true story of Molly Bloom/ an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.,77.49%,3,3,0,smoking and drinking
tt9893250,The Informer,Andrea Di Stefano,Joel Kinnaman Rosamund Pike Common Mateusz Kosciukiewicz,Action/ Crime/ Drama,113,18,An ex-convict working undercover intentionally gets himself incarcerated again in order to infiltrate the mob at a maximum security prison.,66.84%,3,0,1,drinking
tt5363618,Black Bear,Lawrence Michael Levine,Aubrey Plaza Christopher Abbott Sarah Gadon Paola Lázaro,Comedy/ Drama,104,R,A filmmaker at a creative impasse seeks solace from her tumultuous past at a rural retreat/ only to find that the woods summon her inner demons in intense and surprising ways.,53.69%,0,3,0,smoking and drinking
tt8367814,Extremely Wicked Shockingly Evil and Vile,Joe Berlinger,Lily Collins Zac Efron Angela Sarafyan Sydney Vollmer,Biography/ Crime/ Drama,110,18,A chronicle of the crimes of Ted Bundy from the perspective of Liz/ his longtime girlfriend/ who refused to believe the truth about him for years.,77.28%,0,3,0,smoking and drinking
tt6751668,The Assistant,Kitty Green,Julia Garner Owen Holland Jon Orsini Rory Kulz,Drama,87,R,A searing look at a day in the life of an assistant to a powerful executive. As Jane follows her daily routine/ she grows increasingly aware of the insidious abuse that threatens every aspect of her position.,56.60%,0,0,3,smoking
tt0993846,Jungle,Greg McLean,Daniel Radcliffe Thomas Kretschmann Alex Russell Joel Jackson,Action/ Adventure/ Biography,115,15,A group of friends join a guide for a trek into the Bolivian jungle/ searching for an Indian village. The men soon realize that the jungle is a difficult place to be.,76.74%,3,0,0,smoking and drinking
tt9691136,Stand by Me,Rob Reiner,Wil Wheaton River Phoenix Corey Feldman Jerry O'Connell,Adventure/ Drama,89,15,After the death of one of his friends/ a writer recounts a childhood journey with his friends to find the body of a missing boy.,79.89%,3,3,4,smoking and drinking
